pulse_rate,rr_interval,pulse_amplitude,pulse_variability,dosha_label
72.56,0.84,2.77,0.8,Pitta
65.67,0.89,2.08,0.5,Kapha
55.0,1.13,1.72,0.09,Kapha
91.01,0.66,1.36,0.74,Pitta
88.28,0.68,1.84,1.0,Pitta
69.68,0.77,2.45,0.64,Kapha
91.77,0.67,1.7,0.09,Pitta
91.08,0.63,1.68,0.65,Pitta
72.17,0.77,1.68,0.75,Kapha
85.27,0.68,1.36,1.28,Vata
60.84,0.91,2.15,0.57,Kapha
88.09,0.71,1.67,1.19,Vata
75.99,0.86,1.48,0.63,Pitta
64.74,0.92,1.95,0.92,Kapha
68.69,0.82,1.9,0.74,Kapha
72.02,0.96,2.27,0.65,Kapha
75.04,0.66,0.86,1.32,Vata
69.11,0.83,2.11,0.67,Kapha
65.71,0.92,2.2,0.48,Kapha
84.27,0.66,1.33,1.01,Vata
101.64,0.54,1.7,0.38,Pitta
57.39,1.02,1.71,1.25,Vata
85.14,0.85,1.14,0.61,Pitta
96.85,0.59,1.62,0.69,Pitta
78.61,0.72,1.39,1.22,Vata
61.63,0.92,1.71,1.25,Vata
66.0,0.94,1.49,1.2,Vata
63.46,0.93,1.86,0.88,Kapha
60.55,0.92,2.21,0.67,Kapha
76.98,0.76,1.78,0.28,Kapha
90.27,0.8,0.85,0.46,Pitta
76.14,0.81,0.75,1.47,Vata
70.69,0.78,1.42,0.77,Pitta
97.86,0.69,1.65,0.72,Pitta
87.12,0.57,1.78,0.65,Pitta
79.06,0.65,0.9,0.81,Vata
69.72,0.84,2.05,1.07,Kapha
73.99,0.9,1.1,0.98,Pitta
55.31,1.06,2.24,1.11,Kapha
85.44,0.7,1.69,0.99,Vata
65.85,0.91,1.11,1.3,Vata
66.45,0.86,1.51,1.19,Vata
79.76,0.83,1.0,1.55,Vata
71.42,0.86,1.91,1.14,Kapha
72.17,0.84,1.17,0.93,Vata
72.43,0.78,0.97,0.92,Vata
64.64,0.99,2.68,0.78,Kapha
86.75,0.77,1.95,0.68,Pitta
99.79,0.58,2.04,0.61,Pitta
64.49,0.99,2.0,0.83,Kapha
83.01,0.84,1.46,0.85,Pitta
55.0,1.02,1.62,0.48,Kapha
70.34,0.79,1.32,1.13,Vata
95.62,0.75,1.82,1.11,Pitta
56.13,1.0,1.94,1.44,Vata
84.54,0.67,1.27,1.25,Vata
79.89,0.77,1.11,1.16,Pitta
67.09,0.85,1.19,1.25,Vata
69.72,0.75,1.1,1.37,Vata
67.58,1.01,1.62,0.52,Kapha
80.1,0.68,1.02,1.13,Vata
62.55,1.0,1.38,1.2,Vata
104.9,0.51,1.58,0.35,Pitta
75.35,0.78,1.43,0.99,Vata
92.67,0.62,1.35,0.46,Pitta
74.23,0.85,1.98,0.7,Kapha
84.08,0.64,1.87,0.8,Pitta
69.6,0.86,1.98,0.44,Kapha
69.94,0.96,1.36,1.33,Vata
87.6,0.48,1.7,0.85,Pitta
78.03,0.85,1.59,1.42,Vata
76.66,0.76,1.61,0.15,Pitta
94.28,0.74,1.73,0.71,Pitta
62.34,1.04,1.44,1.0,Kapha
80.09,0.64,1.31,1.09,Vata
64.85,0.95,0.95,1.32,Vata
81.42,0.75,1.05,0.52,Pitta
73.79,0.75,1.11,1.55,Vata
76.39,0.74,1.85,0.27,Pitta
77.21,0.83,2.06,1.08,Vata
55.0,1.09,1.81,0.74,Kapha
68.42,0.92,1.11,1.4,Vata
66.72,0.78,1.12,1.26,Vata
71.07,0.97,1.17,0.94,Vata
70.8,0.87,1.21,1.33,Vata
99.8,0.62,1.36,0.41,Pitta
69.44,0.91,1.79,1.07,Kapha
55.0,1.15,2.06,0.32,Kapha
64.43,0.79,2.6,0.61,Kapha
82.19,0.79,1.17,1.32,Vata
94.22,0.63,1.74,0.62,Pitta
99.2,0.55,1.78,0.48,Pitta
84.09,0.6,1.15,0.61,Pitta
70.34,0.8,1.29,1.63,Vata
62.66,0.93,1.08,0.18,Kapha
101.42,0.59,1.61,0.74,Pitta
68.23,0.87,1.88,0.65,Kapha
74.77,0.84,1.39,1.36,Vata
68.75,0.94,1.6,1.09,Vata
67.67,0.81,1.48,0.57,Kapha
82.24,0.8,1.63,0.46,Kapha
69.64,0.9,1.47,0.3,Pitta
62.08,0.87,2.53,0.71,Kapha
75.64,0.63,1.45,1.54,Vata
83.53,0.74,1.24,0.79,Pitta
83.7,0.8,1.54,0.41,Pitta
97.82,0.52,1.57,0.61,Pitta
57.49,0.96,1.93,1.04,Kapha
76.91,0.74,1.42,1.37,Vata
55.0,1.04,2.0,0.8,Kapha
90.12,0.64,1.88,0.9,Pitta
57.39,1.09,2.13,0.76,Kapha
60.03,0.98,2.08,0.4,Kapha
55.0,1.09,1.64,1.06,Kapha
84.4,0.59,1.04,1.69,Vata
86.01,0.72,1.98,1.29,Pitta
58.42,0.91,1.59,1.1,Vata
60.12,1.02,1.84,0.71,Kapha
